Starting program: /home/jonas/Studium/Bachelorarbeit/MAGIC_Bachelorarbeit/microcontroller/cw521/cw521.elf 
Start: 1; End: 10; Interval: 1; Threshold: 1; Measurements per block: 50

Number of blocks: 1
Number of cycles: 393046; error? 0
Number of cycles: 392969; error? 0
Number of cycles: 393009; error? 0
Number of cycles: 392967; error? 0
Number of cycles: 392988; error? 0
Number of cycles: 393017; error? 0
Number of cycles: 392982; error? 0
Number of cycles: 392857; error? 0
Number of cycles: 392809; error? 0
Number of cycles: 393025; error? 0
Number of cycles: 392792; error? 0
Number of cycles: 392810; error? 0
Number of cycles: 392999; error? 0
Number of cycles: 392966; error? 0
Number of cycles: 392800; error? 0
Number of cycles: 392984; error? 0
Number of cycles: 392831; error? 0
Number of cycles: 393010; error? 0
Number of cycles: 393002; error? 0
Number of cycles: 392975; error? 0
Number of cycles: 392982; error? 0
Number of cycles: 393006; error? 0
Number of cycles: 392994; error? 0
Number of cycles: 392971; error? 0
Number of cycles: 392997; error? 0
Number of cycles: 393002; error? 0
Number of cycles: 392817; error? 0
Number of cycles: 392767; error? 0
Number of cycles: 393057; error? 0
Number of cycles: 392832; error? 0
Number of cycles: 392817; error? 0
Number of cycles: 393021; error? 0
Number of cycles: 392965; error? 0
Number of cycles: 393010; error? 0
Number of cycles: 392974; error? 0
Number of cycles: 392791; error? 0
Number of cycles: 392812; error? 0
Number of cycles: 392990; error? 0
Number of cycles: 392800; error? 0
Number of cycles: 392943; error? 0
Number of cycles: 392971; error? 0
Number of cycles: 392969; error? 0
Number of cycles: 393002; error? 0
Number of cycles: 392982; error? 0
Number of cycles: 392958; error? 0
Number of cycles: 393007; error? 0
Number of cycles: 393011; error? 0
Number of cycles: 393009; error? 0
Number of cycles: 392968; error? 0
Number of cycles: 393024; error? 0
Average: 392945.750000
Standard deviation: 83.662369

Number of blocks: 2
Number of cycles: 724718; error? 0
Number of cycles: 724517; error? 0
Number of cycles: 724511; error? 0
Number of cycles: 724651; error? 0
Number of cycles: 724673; error? 0
Number of cycles: 724555; error? 0
Number of cycles: 724460; error? 0
Number of cycles: 724752; error? 0
Number of cycles: 724549; error? 0
Number of cycles: 724543; error? 0
Number of cycles: 724477; error? 0
Number of cycles: 724556; error? 0
Number of cycles: 724681; error? 0
Number of cycles: 724634; error? 0
Number of cycles: 724460; error? 0
Number of cycles: 724523; error? 0
Number of cycles: 724561; error? 0
Number of cycles: 724533; error? 0
Number of cycles: 724732; error? 0
Number of cycles: 724544; error? 0
Number of cycles: 724715; error? 0
Number of cycles: 724445; error? 0
Number of cycles: 724533; error? 0
Number of cycles: 724838; error? 0
Number of cycles: 724541; error? 0
Number of cycles: 724539; error? 0
Number of cycles: 724631; error? 0
Number of cycles: 724751; error? 0
Number of cycles: 724563; error? 0
Number of cycles: 724715; error? 0
Number of cycles: 724483; error? 0
Number of cycles: 724482; error? 0
Number of cycles: 724685; error? 0
Number of cycles: 724486; error? 0
Number of cycles: 724657; error? 0
Number of cycles: 724503; error? 0
Number of cycles: 724569; error? 0
Number of cycles: 724668; error? 0
Number of cycles: 724470; error? 0
Number of cycles: 724751; error? 0
Number of cycles: 724540; error? 0
Number of cycles: 724737; error? 0
Number of cycles: 724691; error? 0
Number of cycles: 724579; error? 0
Number of cycles: 724736; error? 0
Number of cycles: 724480; error? 0
Number of cycles: 724463; error? 0
Number of cycles: 724598; error? 0
Number of cycles: 724755; error? 0
Number of cycles: 724715; error? 0
Average: 724599.187500
Standard deviation: 103.325020

Number of blocks: 3
Number of cycles: 1058388; error? 0
Number of cycles: 1058380; error? 0
Number of cycles: 1058351; error? 0
Number of cycles: 1058393; error? 0
Number of cycles: 1058410; error? 0
Number of cycles: 1058376; error? 0
Number of cycles: 1058517; error? 0
Number of cycles: 1058381; error? 0
Number of cycles: 1058604; error? 0
Number of cycles: 1058436; error? 0
Number of cycles: 1058401; error? 0
Number of cycles: 1058454; error? 0
Number of cycles: 1058437; error? 0
Number of cycles: 1058576; error? 0
Number of cycles: 1058387; error? 0
Number of cycles: 1058394; error? 0
Number of cycles: 1058361; error? 0
Number of cycles: 1058416; error? 0
Number of cycles: 1058404; error? 0
Number of cycles: 1058442; error? 0
Number of cycles: 1058349; error? 0
Number of cycles: 1058585; error? 0
Number of cycles: 1058391; error? 0
Number of cycles: 1058370; error? 0
Number of cycles: 1058574; error? 0
Number of cycles: 1058347; error? 0
Number of cycles: 1058324; error? 0
Number of cycles: 1058357; error? 0
Number of cycles: 1058365; error? 0
Number of cycles: 1058455; error? 0
Number of cycles: 1058378; error? 0
Number of cycles: 1058303; error? 0
Number of cycles: 1058593; error? 0
Number of cycles: 1058708; error? 0
Number of cycles: 1058304; error? 0
Number of cycles: 1058438; error? 0
Number of cycles: 1058369; error? 0
Number of cycles: 1058368; error? 0
Number of cycles: 1058366; error? 0
Number of cycles: 1058402; error? 0
Number of cycles: 1058346; error? 0
Number of cycles: 1058367; error? 0
Number of cycles: 1058466; error? 0
Number of cycles: 1058602; error? 0
Number of cycles: 1058352; error? 0
Number of cycles: 1058420; error? 0
Number of cycles: 1058320; error? 0
Number of cycles: 1058359; error? 0
Number of cycles: 1058363; error? 0
Number of cycles: 1058366; error? 0
Average: 1058416.125000
Standard deviation: 88.025658

Number of blocks: 4
Number of cycles: 1423837; error? 0
Number of cycles: 1424073; error? 0
Number of cycles: 1423923; error? 0
Number of cycles: 1424003; error? 0
Number of cycles: 1424077; error? 0
Number of cycles: 1424072; error? 0
Number of cycles: 1423829; error? 0
Number of cycles: 1423891; error? 0
Number of cycles: 1424058; error? 0
Number of cycles: 1424125; error? 0
Number of cycles: 1423942; error? 0
Number of cycles: 1423938; error? 0
Number of cycles: 1423997; error? 0
Number of cycles: 1424115; error? 0
Number of cycles: 1423779; error? 0
Number of cycles: 1424019; error? 0
Number of cycles: 1424157; error? 0
Number of cycles: 1423896; error? 0
Number of cycles: 1423838; error? 0
Number of cycles: 1424082; error? 0
Number of cycles: 1424075; error? 0
Number of cycles: 1424012; error? 0
Number of cycles: 1424121; error? 0
Number of cycles: 1424078; error? 0
Number of cycles: 1424150; error? 0
Number of cycles: 1424054; error? 0
Number of cycles: 1423844; error? 0
Number of cycles: 1424077; error? 0
Number of cycles: 1424139; error? 0
Number of cycles: 1423891; error? 0
Number of cycles: 1424085; error? 0
Number of cycles: 1424130; error? 0
Number of cycles: 1423919; error? 0
Number of cycles: 1424072; error? 0
Number of cycles: 1423837; error? 0
Number of cycles: 1424094; error? 0
Number of cycles: 1424079; error? 0
Number of cycles: 1424113; error? 0
Number of cycles: 1424116; error? 0
Number of cycles: 1424081; error? 0
Number of cycles: 1424128; error? 0
Number of cycles: 1423886; error? 0
Number of cycles: 1423880; error? 0
Number of cycles: 1424111; error? 0
Number of cycles: 1424169; error? 0
Number of cycles: 1423901; error? 0
Number of cycles: 1423867; error? 0
Number of cycles: 1423864; error? 0
Number of cycles: 1424102; error? 0
Number of cycles: 1424113; error? 0
Average: 1424012.750000
Standard deviation: 111.037888

Number of blocks: 5
Number of cycles: 1755806; error? 0
Number of cycles: 1755826; error? 0
Number of cycles: 1755830; error? 0
Number of cycles: 1755788; error? 0
Number of cycles: 1755783; error? 0
Number of cycles: 1755971; error? 0
Number of cycles: 1755735; error? 0
Number of cycles: 1755812; error? 0
Number of cycles: 1755770; error? 0
Number of cycles: 1755773; error? 0
Number of cycles: 1755937; error? 0
Number of cycles: 1755961; error? 0
Number of cycles: 1755728; error? 0
Number of cycles: 1756068; error? 0
Number of cycles: 1755964; error? 0
Number of cycles: 1756148; error? 0
Number of cycles: 1755722; error? 0
Number of cycles: 1755739; error? 0
Number of cycles: 1755791; error? 0
Number of cycles: 1755824; error? 0
Number of cycles: 1755791; error? 0
Number of cycles: 1755801; error? 0
Number of cycles: 1755746; error? 0
Number of cycles: 1755961; error? 0
Number of cycles: 1755781; error? 0
Number of cycles: 1755733; error? 0
Number of cycles: 1755791; error? 0
Number of cycles: 1755822; error? 0
Number of cycles: 1756035; error? 0
Number of cycles: 1755951; error? 0
Number of cycles: 1755850; error? 0
Number of cycles: 1756017; error? 0
Number of cycles: 1755831; error? 0
Number of cycles: 1755987; error? 0
Number of cycles: 1755732; error? 0
Number of cycles: 1756451; error? 0
Number of cycles: 1755852; error? 0
Number of cycles: 1755823; error? 0
Number of cycles: 1756046; error? 0
Number of cycles: 1755839; error? 0
Number of cycles: 1755838; error? 0
Number of cycles: 1755894; error? 0
Number of cycles: 1755754; error? 0
Number of cycles: 1755763; error? 0
Number of cycles: 1755796; error? 0
Number of cycles: 1755999; error? 0
Number of cycles: 1755762; error? 0
Number of cycles: 1756001; error? 0
Number of cycles: 1755775; error? 0
Number of cycles: 1755742; error? 0
Average: 1755863.000000
Standard deviation: 134.984741

Number of blocks: 6
Number of cycles: 2090267; error? 0
Number of cycles: 2090062; error? 0
Number of cycles: 2090080; error? 0
Number of cycles: 2090052; error? 0
Number of cycles: 2090020; error? 0
Number of cycles: 2090021; error? 0
Number of cycles: 2090054; error? 0
Number of cycles: 2090227; error? 0
Number of cycles: 2090017; error? 0
Number of cycles: 2089931; error? 0
Number of cycles: 2090046; error? 0
Number of cycles: 2090134; error? 0
Number of cycles: 2090200; error? 0
Number of cycles: 2089957; error? 0
Number of cycles: 2090263; error? 0
Number of cycles: 2089986; error? 0
Number of cycles: 2090204; error? 0
Number of cycles: 2090069; error? 0
Number of cycles: 2090196; error? 0
Number of cycles: 2090062; error? 0
Number of cycles: 2090078; error? 0
Number of cycles: 2090226; error? 0
Number of cycles: 2089950; error? 0
Number of cycles: 2090087; error? 0
Number of cycles: 2089976; error? 0
Number of cycles: 2090040; error? 0
Number of cycles: 2090044; error? 0
Number of cycles: 2090068; error? 0
Number of cycles: 2090045; error? 0
Number of cycles: 2090044; error? 0
Number of cycles: 2090097; error? 0
Number of cycles: 2089994; error? 0
Number of cycles: 2090099; error? 0
Number of cycles: 2090043; error? 0
Number of cycles: 2090079; error? 0
Number of cycles: 2090092; error? 0
Number of cycles: 2090010; error? 0
Number of cycles: 2090002; error? 0
Number of cycles: 2089952; error? 0
Number of cycles: 2090043; error? 0
Number of cycles: 2089985; error? 0
Number of cycles: 2090053; error? 0
Number of cycles: 2090098; error? 0
Number of cycles: 2090130; error? 0
Number of cycles: 2090100; error? 0
Number of cycles: 2090000; error? 0
Number of cycles: 2090112; error? 0
Number of cycles: 2090023; error? 0
Number of cycles: 2090083; error? 0
Number of cycles: 2090221; error? 0
Average: 2090072.125000
Standard deviation: 81.295395

Number of blocks: 7
Number of cycles: 2446623; error? 0
Number of cycles: 2446805; error? 0
Number of cycles: 2446892; error? 0
Number of cycles: 2446756; error? 0
Number of cycles: 2446732; error? 0
Number of cycles: 2447211; error? 0
Number of cycles: 2446802; error? 0
Number of cycles: 2446819; error? 0
Number of cycles: 2446821; error? 0
Number of cycles: 2446836; error? 0
Number of cycles: 2446794; error? 0
Number of cycles: 2446918; error? 0
Number of cycles: 2446846; error? 0
Number of cycles: 2447236; error? 0
Number of cycles: 2446690; error? 0
Number of cycles: 2446803; error? 0
Number of cycles: 2446867; error? 0
Number of cycles: 2446864; error? 0
Number of cycles: 2447226; error? 0
Number of cycles: 2446830; error? 0
Number of cycles: 2446836; error? 0
Number of cycles: 2446908; error? 0
Number of cycles: 2446826; error? 0
Number of cycles: 2446827; error? 0
Number of cycles: 2446957; error? 0
Number of cycles: 2446829; error? 0
Number of cycles: 2446726; error? 0
Number of cycles: 2446954; error? 0
Number of cycles: 2446903; error? 0
Number of cycles: 2446779; error? 0
Number of cycles: 2446952; error? 0
Number of cycles: 2446820; error? 0
Number of cycles: 2446749; error? 0
Number of cycles: 2446739; error? 0
Number of cycles: 2446718; error? 0
Number of cycles: 2446751; error? 0
Number of cycles: 2446825; error? 0
Number of cycles: 2446773; error? 0
Number of cycles: 2446526; error? 0
Number of cycles: 2446887; error? 0
Number of cycles: 2446861; error? 0
Number of cycles: 2446893; error? 0
Number of cycles: 2446768; error? 0
Number of cycles: 2446826; error? 0
Number of cycles: 2446777; error? 0
Number of cycles: 2446819; error? 0
Number of cycles: 2446734; error? 0
Number of cycles: 2446939; error? 0
Number of cycles: 2446851; error? 0
Number of cycles: 2446851; error? 0
Average: 2446839.250000
Standard deviation: 126.136406

Number of blocks: 8
Number of cycles: 2791609; error? 0
Number of cycles: 2791647; error? 0
Number of cycles: 2791332; error? 0
Number of cycles: 2791580; error? 0
Number of cycles: 2791374; error? 0
Number of cycles: 2791514; error? 0
Number of cycles: 2791731; error? 0
Number of cycles: 2791409; error? 0
Number of cycles: 2791600; error? 0
Number of cycles: 2791345; error? 0
Number of cycles: 2791530; error? 0
Number of cycles: 2791486; error? 0
Number of cycles: 2791631; error? 0
Number of cycles: 2791506; error? 0
Number of cycles: 2791297; error? 0
Number of cycles: 2791570; error? 0
Number of cycles: 2791381; error? 0
Number of cycles: 2791507; error? 0
Number of cycles: 2791631; error? 0
Number of cycles: 2791301; error? 0
Number of cycles: 2791548; error? 0
Number of cycles: 2791397; error? 0
Number of cycles: 2791541; error? 0
Number of cycles: 2791448; error? 0
Number of cycles: 2791332; error? 0
Number of cycles: 2791523; error? 0
Number of cycles: 2791434; error? 0
Number of cycles: 2791572; error? 0
Number of cycles: 2791608; error? 0
Number of cycles: 2791529; error? 0
Number of cycles: 2791518; error? 0
Number of cycles: 2791597; error? 0
Number of cycles: 2791316; error? 0
Number of cycles: 2791343; error? 0
Number of cycles: 2791612; error? 0
Number of cycles: 2791590; error? 0
Number of cycles: 2791269; error? 0
Number of cycles: 2791483; error? 0
Number of cycles: 2791387; error? 0
Number of cycles: 2791420; error? 0
Number of cycles: 2791277; error? 0
Number of cycles: 2791541; error? 0
Number of cycles: 2791589; error? 0
Number of cycles: 2791494; error? 0
Number of cycles: 2791490; error? 0
Number of cycles: 2791501; error? 0
Number of cycles: 2791879; error? 0
Number of cycles: 2791349; error? 0
Number of cycles: 2791392; error? 0
Number of cycles: 2791638; error? 0
Average: 2791492.250000
Standard deviation: 126.365669

Number of blocks: 9
Number of cycles: 3113184; error? 0
Number of cycles: 3112858; error? 0
